序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
313,1971,23.084534,112.010047,206.0,34.2,39.0,0.712
314,1667,23.084336,112.012049,208.5,28.1,44.0,0.783
315,1204,23.084108,112.014073,290.3,24.0,2.0,0.451
316,7518,23.08281,112.016535,173.8,31.8,10.0,0.757
317,2682,23.082642,112.018224,196.4,27.4,39.0,0.787
318,1582,23.082012,112.020017,151.9,28.7,7.0,0.789
319,9496,23.080899,112.020878,152.1,33.9,7.0,0.735
320,2590,23.080544,112.022314,186.7,28.6,39.0,0.795
321,1695,23.079657,112.023864,129.4,26.6,14.0,0.786
322,6560,23.078843,112.024769,149.6,28.3,15.0,0.769
323,1604,23.078331,112.026122,203.5,26.4,39.0,0.799
324,1725,23.077531,112.027911,103.4,29.8,24.0,0.771
325,4409,23.076871,112.028622,158.9,28.4,25.0,0.813
326,1721,23.076292,112.030042,213.8,28.2,40.0,0.788
327,1195,23.075836,112.032072,249.3,22.6,3.0,0.644
328,3065,23.074631,112.034127,195.0,24.6,20.0,0.737
329,2118,23.074538,112.03603,206.4,27.1,27.0,0.726
330,2044,23.074506,112.038048,193.9,23.9,30.0,0.766
331,1980,23.074558,112.039943,202.7,26.4,28.0,0.733
332,2387,23.074666,112.041921,195.5,25.0,16.0,0.722
333,3710,23.07469,112.043832,167.3,23.8,8.0,0.645
334,6267,23.074896,112.045452,128.7,26.0,8.0,0.72
335,844,23.075929,112.046019,198.8,28.1,56.0,0.789
336,874,23.076167,112.047946,201.3,24.9,48.0,0.735
337,1373,23.07628,112.049909,214.8,26.4,36.0,0.757
338,2015,23.07646,112.052,198.8,24.8,32.0,0.783
339,2592,23.076721,112.053922,259.0,25.1,5.0,0.761
340,1197,23.078022,112.056022,205.8,26.0,44.0,0.801
341,1177,23.077593,112.057978,194.4,26.0,45.0,0.78
342,1404,23.077667,112.059877,226.1,32.1,41.0,0.756
343,1891,23.077907,112.062072,202.7,34.3,41.0,0.728
344,1905,23.078153,112.064035,202.3,32.1,37.0,0.788
345,2113,23.078426,112.065991,192.1,30.9,30.0,0.769
346,2781,23.078701,112.067845,185.4,25.5,14.0,0.751
347,5181,23.078881,112.069647,261.2,28.0,5.0,0.405
348,1513,23.079931,112.07193,181.2,21.7,2.0,0.448
349,2560,23.08156,112.072,212.8,30.0,19.0,0.51
350,1493,23.081856,112.074056,206.3,30.9,32.0,0.604
351,1005,23.082205,112.076037,182.8,29.4,43.0,0.737
352,1560,23.08218,112.077823,146.0,27.5,13.0,0.541
353,1912,23.083447,112.078195,207.5,48.6,27.0,0.477
354,961,23.084059,112.080111,177.7,29.9,44.0,0.742
355,1440,23.084244,112.081837,139.6,23.2,17.0,0.624
356,2039,23.085441,112.082246,194.0,38.3,28.0,0.548
357,915,23.085971,112.084053,182.0,27.2,45.0,0.792
358,1405,23.086382,112.085775,173.6,26.0,20.0,0.72
359,5268,23.08682,112.087404,447.5,30.0,1.0,0.405
360,4887,23.088738,112.09125,236.2,90.0,4.0,0.405
361,8738,23.08872,112.093559,880.2,29.0,1.0,0.405
362,8830,23.088819,112.102164,227.7,48.1,6.0,0.598
363,4705,23.08864,112.104381,180.8,37.7,20.0,0.738
364,1935,23.088483,112.10614,135.3,23.5,6.0,0.408
365,2012,23.089696,112.106043,209.4,19.0,17.0,0.405
366,1936,23.089913,112.108077,219.5,12.0,2.0,0.405
367,1299,23.087939,112.108029,278.3,28.7,4.0,0.502
368,4478,23.08677,112.110435,175.8,39.2,20.0,0.595
369,1957,23.086533,112.112133,196.2,26.4,39.0,0.806
370,1497,23.086284,112.114032,208.3,27.9,45.0,0.79
371,1214,23.086184,112.116066,198.0,27.5,48.0,0.767
372,1057,23.086222,112.118002,201.6,23.8,47.0,0.8
373,981,23.086335,112.119969,198.0,23.8,45.0,0.756
374,1213,23.086538,112.121892,76.9,27.9,8.0,0.681
375,2199,23.087201,112.122104,199.7,39.2,26.0,0.586
376,1372,23.087301,112.124053,201.6,37.4,38.0,0.52
377,947,23.087353,112.126023,213.4,27.5,1.0,0.636
378,4124,23.086926,112.128057,218.4,34.4,18.0,0.681
379,3102,23.086863,112.130191,202.0,28.1,33.0,0.811
380,1860,23.086644,112.132152,188.6,31.6,44.0,0.782
381,1355,23.086255,112.133947,222.4,29.2,45.0,0.803
382,1206,23.085801,112.136064,268.6,28.0,6.0,0.451
383,3642,23.0848,112.138454,163.8,30.7,36.0,0.783
384,1546,23.084386,112.13999,222.5,28.6,46.0,0.835
385,1218,23.083766,112.142058,144.4,28.3,5.0,0.807
386,10319,23.082757,112.142946,144.0,31.5,5.0,0.793
387,2637,23.082737,112.144354,184.6,26.7,43.0,0.818
388,1343,23.082126,112.146032,207.6,25.1,46.0,0.799
389,1353,23.081563,112.147966,228.9,31.0,25.0,0.405
390,1781,23.08246,112.14998,213.2,9.0,18.0,0.405
391,1676,23.080552,112.150182,199.1,28.4,45.0,0.816
392,1403,23.079913,112.152001,203.7,27.2,44.0,0.801
393,1581,23.079471,112.153933,92.4,27.6,24.0,0.817
394,4217,23.078823,112.154499,168.4,27.6,26.0,0.8
395,1585,23.078517,112.156112,201.0,27.7,46.0,0.801
396,1376,23.077957,112.15798,260.6,25.0,1.0,0.416
397,1400,23.076787,112.160187,201.6,18.3,12.0,0.645
398,2329,23.076644,112.162151,191.8,29.9,36.0,0.806
399,1395,23.076376,112.164004,212.6,32.8,46.0,0.758
400,1329,23.076009,112.166044,198.8,31.7,44.0,0.754
401,1606,23.075709,112.16796,202.4,26.9,39.0,0.79
402,1736,23.07548,112.169923,234.3,40.2,5.0,0.546
403,2288,23.074649,112.172027,203.2,22.8,26.0,0.719
404,1986,23.074553,112.174011,212.5,25.4,33.0,0.758
405,1663,23.074414,112.176083,190.3,26.7,37.0,0.742
406,1602,23.074323,112.177941,207.4,36.7,36.0,0.678
407,1825,23.074344,112.179968,205.6,26.0,34.0,0.747
408,1979,23.07449,112.181971,198.2,22.1,28.0,0.731
409,2431,23.07468,112.183898,177.6,35.1,17.0,0.563
410,4209,23.07479,112.18563,175.4,22.4,3.0,0.589
411,11105,23.074881,112.187342,137.5,22.0,3.0,0.673
412,1235,23.075943,112.188031,192.3,24.4,38.0,0.755
413,1672,23.076438,112.189833,162.2,21.5,15.0,0.681
414,5314,23.076828,112.19136,133.8,21.5,15.0,0.735
415,1344,23.077796,112.192137,181.5,22.2,37.0,0.756
416,1847,23.07841,112.19378,152.3,25.4,8.0,0.679
417,7173,23.078815,112.195202,156.1,23.4,8.0,0.664
418,1326,23.080063,112.1959,167.9,26.4,21.0,0.736
419,4371,23.080675,112.1974,159.4,20.7,21.0,0.68
420,1381,23.081977,112.198054,149.7,24.9,20.0,0.697
421,4327,23.082596,112.199353,179.6,26.1,20.0,0.683
422,1354,23.084098,112.199998,141.4,21.9,10.0,0.697
423,7057,23.084787,112.20116,159.0,20.0,10.0,0.694
424,1952,23.086153,112.201621,205.4,23.4,32.0,0.682
425,1287,23.087908,112.20225,183.9,42.3,28.0,0.646
426,3938,23.089529,112.202604,317.9,60.0,5.0,0.405
427,1392,23.091815,112.204469,167.5,34.1,8.0,0.584
428,6192,23.093321,112.20453,159.2,35.2,9.0,0.607
429,1020,23.094058,112.205865,178.2,32.2,40.0,0.815
430,2924,23.095515,112.206588,298.4,90.0,3.0,0.405
431,1779,23.097631,112.208383,145.2,30.8,44.0,0.822
432,2435,23.098504,112.209438,308.6,85.7,2.0,0.0
433,3501,23.100659,112.211339,163.2,38.5,35.0,0.747
434,1244,23.101947,112.212103,153.5,34.3,25.0,0.769
435,4043,23.102607,112.213422,171.9,34.0,25.0,0.79
436,1198,23.104067,112.213974,154.8,30.4,21.0,0.809
437,4612,23.104579,112.215381,177.5,30.3,20.0,0.794
438,1072,23.106112,112.215865,181.5,32.7,23.0,0.595
439,2279,23.107667,112.216401,165.9,36.7,24.0,0.611
440,1107,23.108116,112.217948,291.2,37.1,25.0,0.577
441,998,23.110045,112.219874,182.2,38.4,32.0,0.748
442,3362,23.110501,112.221585,159.1,32.6,26.0,0.73
443,1185,23.111888,112.22197,188.2,33.5,39.0,0.785
444,2153,23.112358,112.223738,157.9,28.5,26.0,0.732
445,1624,23.113732,112.224126,185.0,30.6,35.0,0.687
446,1565,23.114111,112.225887,191.0,30.5,11.0,0.546
