序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
259,2009,23.103512,113.600291,182.7,34.8,28.0,0.659
260,1337,23.104194,113.601917,189.7,34.1,27.0,0.651
261,3137,23.104637,113.603708,106.7,31.4,11.0,0.658
262,2169,23.105499,113.604165,192.3,60.3,26.0,0.598
263,1383,23.105844,113.606007,212.9,65.6,33.0,0.544
264,1408,23.106119,113.608068,209.8,72.9,33.0,0.583
265,1387,23.106279,113.610112,213.6,79.1,32.0,0.601
266,361,23.106738,113.61214,176.9,37.1,32.0,0.522
267,199,23.106706,113.613869,205.6,58.8,28.0,0.573
268,1409,23.106359,113.615844,132.4,93.2,3.0,0.519
269,6,23.107416,113.616438,,,,
