序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
374,10940,23.052221,112.979084,3215.6,893.2,1.0,0.0
375,7611,23.035089,113.004402,186.3,29.4,3.0,0.619
376,387,23.034294,113.006005,278.3,120.5,7.0,0.463
377,5002,23.0326,113.008007,354.3,194.0,3.0,0.417
378,8312,23.030404,113.010516,204.3,58.7,5.0,0.464
379,8362,23.029768,113.012389,387.0,62.0,1.0,0.46
380,8731,23.028097,113.015706,485.0,120.0,2.0,0.405
381,7334,23.026386,113.020066,488.8,135.8,1.0,0.0
382,6020,23.024191,113.024204,285.0,55.3,7.0,0.516
383,5898,23.022352,113.026145,325.7,63.2,7.0,0.555
384,6289,23.020299,113.028415,464.8,92.5,1.0,0.392
385,433,23.018272,113.032386,349.4,300.0,2.0,0.405
386,9351,23.017234,113.035608,589.3,864.0,1.0,0.405
387,8382,23.01335,113.039526,308.4,60.0,4.0,0.405
388,7780,23.011479,113.04175,266.3,57.0,4.0,0.435
389,5787,23.009692,113.043483,327.4,90.9,3.0,0.0
390,3430,23.007465,113.045575,11104.5,3084.6,1.0,0.0
391,235,22.988164,113.152017,125.0,29.3,1.0,0.69
392,2689,22.989288,113.152019,281.8,78.3,1.0,0.0
393,8491,22.991822,113.152067,186.1,65.3,3.0,0.44
394,12183,22.993451,113.152487,346.7,170.0,3.0,0.378
395,12184,22.995951,113.154511,250.2,38.0,4.0,0.447
396,10537,22.997709,113.156037,536.0,300.0,1.0,0.405
397,8953,23.00207,113.158269,412.1,1079.0,1.0,0.405
398,444,23.004001,113.161705,174.3,26.4,5.0,0.626
399,3293,23.003976,113.163408,316.1,517.0,2.0,0.405
400,7798,23.005764,113.165809,347.3,587.0,3.0,0.405
401,10411,23.008084,113.168081,250.7,106.5,3.0,0.32
402,10476,23.009713,113.169775,2202.2,611.7,1.0,0.0
403,585,23.016126,113.190134,3834.9,1065.2,1.0,0.0
404,0,23.044299,113.211749,,,,
